Element ID	Element Name	Description
4.A.4.b.4.f.1	Coordinate training activities.	
4.A.4.b.4.f.2	Coordinate personnel recruitment activities.	
4.A.4.b.4.f.3	Direct employee training programs.	
4.A.4.b.4.f.4	Manage human resources activities.	
4.A.4.b.4.g	Manage control systems or activities.	
4.A.4.b.4.g.1	Direct quality control activities.	
4.A.4.b.4.g.2	Coordinate flight control or management activities.	
4.A.4.b.4.g.3	Manage control system activities in organizations.	
4.A.4.b.4.h	Manage budgets or finances.	
4.A.4.b.4.h.1	Manage budgets for personal services operations.	
4.A.4.b.4.h.2	Direct financial operations.	
4.A.4.b.4.h.3	Direct fundraising or financing activities.	
4.A.4.b.4.h.4	Prepare operational budgets.	
4.A.4.b.4.h.5	Manage organizational or project budgets.	
4.A.4.b.4.h.6	Manage financial activities of the organization.	
4.A.4.b.4.h.7	Manage budgets for appropriate resource allocation.	
4.A.4.b.4.h.8	Manage organizational or program finances.	
4.A.4.b.4.h.9	Prepare operational budgets for green energy or other green operations.	
4.A.4.b.4.h.10	Prepare project budgets.	
4.A.4.b.4.i	Direct construction or extraction activities.	
4.A.4.b.4.i.1	Direct natural resources extraction projects.	
4.A.4.b.4.i.2	Direct construction or extraction personnel.	
4.A.4.b.4.i.3	Direct construction activities.	
4.A.4.b.4.i.4	Direct installation activities.	
4.A.4.b.4.i.5	Coordinate construction project activities.	
4.A.4.b.4.i.6	Coordinate construction or installation activities.	
4.A.4.b.4.i.7	Manage construction activities.	
4.A.4.b.4.j	Direct organizational operations, activities, or procedures.	
4.A.4.b.4.j.1	Direct operational or production activities.	
4.A.4.b.4.j.2	Direct environmental development activities.	
4.A.4.b.4.j.3	Direct sales, marketing, or customer service activities.	
4.A.4.b.4.j.4	Direct equipment maintenance or repair activities.	
4.A.4.b.4.j.5	Coordinate sales campaigns.	
4.A.4.b.4.j.6	Direct funeral or mortuary activities.	
4.A.4.b.4.j.7	Manage environmental sustainability projects.	
4.A.4.b.4.j.8	Oversee business processes.	
4.A.4.b.4.j.9	Coordinate logistics or other business operations.	
4.A.4.b.4.j.10	Direct green energy production operations.	
4.A.4.b.4.j.11	Manage guest services.	
4.A.4.b.4.j.12	Manage operations, research, or logistics projects.	
4.A.4.b.4.j.13	Coordinate activities of food service staff.	
4.A.4.b.4.j.14	Direct operations of correctional facilities.	
4.A.4.b.4.j.15	Coordinate timing of food production activities.	
4.A.4.b.4.j.16	Coordinate shipping activities with external parties.	
4.A.4.b.4.j.17	Direct administrative or support services.	
4.A.4.b.4.j.18	Manage operations of artistic or entertainment departments or organizations.	
4.A.4.b.4.j.19	Coordinate activities of production personnel.	
4.A.4.b.4.j.20	Coordinate logistics for productions or events.	
4.A.4.b.4.j.21	Direct maintenance or repair activities.	
4.A.4.b.4.j.22	Manage food service operations or parts of operations.	
4.A.4.b.4.j.23	Direct healthcare delivery programs.	
4.A.4.b.4.j.24	Direct industrial production activities.	
4.A.4.b.4.j.25	Direct maintenance and repair activities in green energy production facilities.	
4.A.4.b.4.j.26	Direct energy production or management activities.	
4.A.4.b.4.j.27	Direct facility maintenance or repair activities.	
4.A.4.b.4.j.28	Manage clerical or administrative activities.	
4.A.4.b.4.j.29	Arrange delivery of goods or services.	
4.A.4.b.4.j.30	Direct passenger or freight transport activities.	
4.A.4.b.4.j.31	Direct material handling or moving activities.	
4.A.4.b.4.j.32	Coordinate project activities with other personnel or departments.	
4.A.4.b.4.j.33	Direct department activities.	
4.A.4.b.4.j.34	Coordinate reporting or editing activities.	
4.A.4.b.4.j.35	Manage preparation of special meals or diets.	
4.A.4.b.4.j.36	Coordinate resource procurement activities.	
4.A.4.b.4.j.37	Coordinate operational activities.	
4.A.4.b.4.j.38	Manage healthcare operations.	
4.A.4.b.4.j.39	Direct organizational operations, projects, or services.	
4.A.4.b.4.k	Direct security or safety activities or operations.	
4.A.4.b.4.k.1	Direct emergency management activities.	
4.A.4.b.4.k.2	Manage organizational security activities.	
4.A.4.b.4.k.3	Direct fire fighting or prevention activities.	
4.A.4.b.4.k.4	Coordinate enforcement of laws or regulations.	
4.A.4.b.4.k.5	Direct security operations.	
4.A.4.b.4.l	Direct legal activities.	
4.A.4.b.4.l.1	Direct criminal investigations.	
4.A.4.b.4.l.2	Direct law enforcement activities.	
4.A.4.b.4.l.3	Coordinate legal schedules or activities.	
4.A.4.b.4.l.4	Direct courtroom activities or procedures.	
4.A.4.b.5	Coaching and Developing Others	Identifying the developmental needs of others and coaching, mentoring, or otherwise helping others to improve their knowledge or skills.
4.A.4.b.5.a	Coach others.	
4.A.4.b.5.a.1	Coach others.	
4.A.4.b.6	Providing Consultation and Advice to Others	Providing guidance and expert advice to management or other groups on technical, systems-, or process-related topics.
4.A.4.b.6.a	Advise patients or clients on medical issues.	
4.A.4.b.6.a.1	Provide health and wellness advice to patients, program participants, or caregivers.	
4.A.4.b.6.a.2	Advise patients on preventive care techniques.	
4.A.4.b.6.a.3	Provide medical or cosmetic advice for clients.	
4.A.4.b.6.a.4	Advise patients on effects of health conditions or treatments.	
4.A.4.b.6.a.5	Advise patients on healthcare system processes.	
4.A.4.b.6.b	Advise others on products or services.	
4.A.4.b.6.b.1	Recommend types of assistive devices.	
4.A.4.b.6.b.2	Advise customers on technical or procedural issues.	
4.A.4.b.6.b.3	Advise customers on the use of products or services.	
4.A.4.b.6.b.4	Recommend products or services to customers.	
4.A.4.b.6.c	Advise others on environmental sustainability or green practices.	
4.A.4.b.6.c.1	Advise others about environmental management or conservation.	
4.A.4.b.6.c.2	Advise others regarding green practices or environmental concerns.	
4.A.4.b.6.c.3	Advise others on green energy or related technologies.	
4.A.4.b.6.c.4	Advise others about land management or conservation.	
4.A.4.b.6.d	Advise others on the design or use of technologies.	
4.A.4.b.6.d.1	Provide technical guidance to other personnel.	
4.A.4.b.6.d.2	Provide technical support for software maintenance or use.	
4.A.4.b.6.d.3	Provide recommendations to others about computer hardware.	
4.A.4.b.6.d.4	Advise others on the development or use of new technologies.	
4.A.4.b.6.d.5	Provide technical support for computer network issues.	
4.A.4.b.6.d.6	Recommend changes to improve computer or information systems.	
4.A.4.b.6.e	Advise others on business or operational matters.	
4.A.4.b.6.e.1	Advise others on farming or forestry operations, regulations, or equipment.	
4.A.4.b.6.e.2	Advise others on logistics topics.	
4.A.4.b.6.e.3	Recommend personnel decisions or human resources activities.	
4.A.4.b.6.e.4	Recommend packing or shipping methods.	
4.A.4.b.6.e.5	Advise others on analytical techniques.	
4.A.4.b.6.e.6	Advise others on issues related to repairs, installation, or equipment design.	
4.A.4.b.6.e.7	Recommend organizational process or policy changes.	
4.A.4.b.6.e.8	Advise others on human resources topics.	
4.A.4.b.6.e.9	Recommend technical design or process changes to improve efficiency, quality, or performance.	
4.A.4.b.6.e.10	Advise others on business or operational matters.	
4.A.4.b.6.e.11	Advise others on ways to improve processes or products.	
4.A.4.b.6.e.12	Recommend changes or corrective procedures.	
4.A.4.b.6.f	Advise others on healthcare or wellness issues.	
4.A.4.b.6.f.1	Advise medical personnel regarding healthcare issues.	
4.A.4.b.6.f.2	Advise communities or institutions regarding health or safety issues.	
4.A.4.b.6.f.3	Advise clients or community groups on health issues.	
4.A.4.b.6.f.4	Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.	
4.A.4.b.6.f.5	Advise others on healthcare matters.	
4.A.4.b.6.g	Advise others on educational or vocational matters.	
4.A.4.b.6.g.1	Advise others on social or educational issues.	
4.A.4.b.6.g.2	Advise students on academic or career matters.	
4.A.4.b.6.g.3	Discuss child development and behavior with parents or guardians.	
4.A.4.b.6.g.4	Counsel clients regarding educational or vocational issues.	
4.A.4.b.6.g.5	Advise educators on curricula, instructional methods, or policies.	
4.A.4.b.6.g.6	Advise others on career or personal development.	
4.A.4.b.6.g.7	Advise others on educational matters.	
4.A.4.b.6.g.8	Discuss student progress with parents or guardians.	
4.A.4.b.6.h	Advise others on legal or regulatory matters.	
4.A.4.b.6.h.1	Provide legal advice to clients.	
4.A.4.b.6.h.2	Advise others on matters of public policy.	
4.A.4.b.6.h.3	Recommend legal actions.	
4.A.4.b.6.h.4	Advise others on legal or regulatory compliance matters.	
4.A.4.b.6.i	Advise others on workplace health or safety issues.	
4.A.4.b.6.i.1	Advise others on management of emergencies or hazardous situations or materials.	
4.A.4.b.6.i.2	Recommend improvements to increase safety or reduce risks.	
4.A.4.b.6.i.3	Advise others on health and safety issues.	
4.A.4.b.6.j	Counsel others about personal matters.	
4.A.4.b.6.j.1	Intervene in crisis situations to assist clients.	
4.A.4.b.6.j.2	Counsel clients or patients with substance abuse issues.	
4.A.4.b.6.j.3	Provide counsel, comfort, or encouragement to individuals or families.	
4.A.4.b.6.j.4	Counsel clients regarding interpersonal issues.	
4.A.4.b.6.j.5	Counsel family members of clients or patients.	
4.A.4.b.6.j.6	Counsel clients on mental health or personal achievement.	
4.A.4.b.6.j.7	Counsel clients or patients regarding personal issues.	
4.A.4.b.6.k	Advise others on financial matters.	
4.A.4.b.6.k.1	Advise real estate clients.	
4.A.4.b.6.k.2	Recommend investments to clients.	
4.A.4.b.6.k.3	Advise others on financial matters.	
4.A.4.c	Administering	What administrative, staffing, monitoring, or controlling activities are done while performing this job?
4.A.4.c.1	Performing Administrative Activities	Performing day-to-day administrative tasks such as maintaining information files and processing paperwork.
4.A.4.c.1.a	Perform administrative or clerical activities.	
4.A.4.c.1.a.1	Classify materials according to standard systems.	
4.A.4.c.1.a.2	File documents or records.	
4.A.4.c.1.a.3	Process healthcare paperwork.	
4.A.4.c.1.a.4	Prepare business correspondence.	
4.A.4.c.1.a.5	Perform student enrollment or registration activities.	
4.A.4.c.1.a.6	Perform clerical work in medical settings.	
4.A.4.c.1.a.7	Type documents.	
4.A.4.c.1.a.8	Process library materials.	
4.A.4.c.1.a.9	Prepare administrative documents.	
4.A.4.c.1.a.10	Perform administrative or clerical tasks.	
4.A.4.c.1.b	Perform court-related or other legal administrative activities.	
4.A.4.c.1.b.1	Administer oaths to court participants.	
4.A.4.c.1.b.2	Serve court ordered documents.	
4.A.4.c.1.c	Execute financial transactions.	
4.A.4.c.1.c.1	Operate cash registers.	
4.A.4.c.1.c.2	Submit financial applications.	
4.A.4.c.1.c.3	Process medical billing information.	
4.A.4.c.1.c.4	Execute sales or other financial transactions.	
4.A.4.c.1.c.5	Issue money, credit, or vouchers.	
4.A.4.c.1.c.6	Process customer bills or payments.	
4.A.4.c.1.c.7	Pay charges, fees, or taxes.	
4.A.4.c.1.c.8	Arrange insurance coverage.	
4.A.4.c.1.c.9	Take customer orders.	
4.A.4.c.1.c.10	Take product orders from customers.	
4.A.4.c.1.c.11	Process sales or other transactions.	
4.A.4.c.1.c.12	Disburse funds from clients accounts to creditors.	
4.A.4.c.1.c.13	Conduct gaming transactions.	
4.A.4.c.1.d	Issue documentation.	
4.A.4.c.1.d.1	Issue permits or other legal documents.	
4.A.4.c.1.d.2	Issue documentation or identification to customers or employees.	
4.A.4.c.1.d.3	Issue warnings or citations.	
4.A.4.c.1.d.4	Issue certificates or licenses.	
4.A.4.c.1.e	Process shipments or mail.	
4.A.4.c.1.e.1	Receive shipments.	
4.A.4.c.1.e.2	Prepare outgoing mail.	
4.A.4.c.1.e.3	Send information, materials or documentation.	
4.A.4.c.1.e.4	Route mail to correct destinations.	
4.A.4.c.1.e.5	Prepare outgoing shipments.	
4.A.4.c.1.f	Process forensic or legal evidence.	
4.A.4.c.1.f.1	Process forensic or legal evidence in accordance with procedures.	
4.A.4.c.2	Staffing Organizational Units	Recruiting, interviewing, selecting, hiring, and promoting employees in an organization.
4.A.4.c.2.a	Perform recruiting or hiring activities.	
4.A.4.c.2.a.1	Audition or interview potential performers or staff members.	
4.A.4.c.2.a.2	Conduct eligibility or selection interviews.	
4.A.4.c.2.a.3	Hire personnel.	
4.A.4.c.2.a.4	Participate in staffing decisions.	
4.A.4.c.2.a.5	Recruit personnel.	
4.A.4.c.2.a.6	Select staff, team members, or performers.	
4.A.4.c.2.a.7	Hire farming, fishing or forestry workers.	
4.A.4.c.2.a.8	Administer personnel recruitment or hiring activities.	
4.A.4.c.2.b	Perform human resources activities.	
4.A.4.c.2.b.1	Perform human resources activities.	
4.A.4.c.2.b.2	Administer compensation or benefits programs.	
4.A.4.c.2.b.3	Administer standardized physical or psychological tests.	
4.A.4.c.3	Monitoring and Controlling Resources	Monitoring and controlling resources and overseeing the spending of money.
4.A.4.c.3.a	Replenish inventories of materials, equipment, or products.	
4.A.4.c.3.a.1	Maintain food, beverage, or equipment inventories.	
4.A.4.c.3.a.2	Maintain inventory of medical supplies or equipment.	
4.A.4.c.3.a.3	Manage inventories of products or organizational resources.	
4.A.4.c.3.a.4	Maintain supply or equipment inventories.	
4.A.4.c.3.a.5	Maintain inventories of materials, equipment, or products.	
4.A.4.c.3.a.6	Maintain the inventory of equipment.	
4.A.4.c.3.b	Order medical tests or procedures.	
4.A.4.c.3.b.1	Order medical diagnostic or clinical tests.	
4.A.4.c.3.c	Distribute materials, supplies, or resources.	
4.A.4.c.3.c.1	Distribute instructional or library materials.	
4.A.4.c.3.c.2	Allocate physical resources within organizations.	
4.A.4.c.3.c.3	Distribute materials to employees or customers.	
4.A.4.c.3.c.4	Assign resources or facilities to patrons or employees.	
4.A.4.c.3.c.5	Distribute resources to patrons or employees.	
4.A.4.c.3.c.6	Provide educational materials to community members.	
4.A.4.c.3.c.7	Distribute incoming mail.	
4.A.4.c.3.c.8	Distribute supplies to workers.	
4.A.4.c.3.d	Collect fares or payments.	
4.A.4.c.3.d.1	Collect deposits, payments or fees.	
4.A.4.c.3.d.2	Collect fares or payment from customers.	
